H,M,S,draws
5,9,22,0.0010505555555555554
5,9,23,0.0010505555555555554
5,9,24,0.0010505555555555554
5,9,25,0.0010505555555555554
5,9,26,0.0010505555555555554
5,9,27,0.0010505555555555554
5,9,28,0.0010505555555555554
5,9,29,0.0010505555555555554
5,9,30,0.0010505555555555554
5,9,31,0.0010505555555555554
5,9,32,0.0010505555555555554
5,9,33,0.0010505555555555554
5,9,34,0.0010505555555555554
5,9,35,0.0010505555555555554
5,9,36,0.0010505555555555554
5,9,37,0.0010505555555555554
5,9,38,0.0010505555555555554
5,9,39,0.0010505555555555554
5,9,40,0.0010505555555555554
5,9,41,0.0010505555555555554
5,9,42,0.0010505555555555554
5,9,43,0.0010505555555555554
5,9,44,0.0010505555555555554
5,9,45,0.0010505555555555554
5,9,46,0.0010505555555555554
5,9,47,0.0010505555555555554
5,9,48,0.0010505555555555554
5,9,49,0.0010505555555555554
5,9,50,0.0010505555555555554
5,9,51,0.0010505555555555554
5,9,52,0.0010505555555555554
5,9,53,0.0010505555555555554
5,9,54,0.0010505555555555554
5,9,55,0.0010505555555555554
5,9,56,0.0010505555555555554
5,9,57,0.0010505555555555554
5,9,58,0.0010505555555555554
5,9,59,0.0010505555555555554
5,10,0,0.0010505555555555554
5,10,1,0.0010505555555555554
5,10,2,0.0010505555555555554
5,10,3,0.0010505555555555554
5,10,4,0.0010505555555555554
5,10,5,0.0010505555555555554
5,10,6,0.0010505555555555554
5,10,7,0.0010505555555555554
5,10,8,0.0010505555555555554
5,10,9,0.0010505555555555554
5,10,10,0.0010505555555555554
5,10,11,0.0010505555555555554
5,10,12,0.0010505555555555554
5,10,13,0.0010505555555555554
5,10,14,0.0010505555555555554
5,10,15,0.0010505555555555554
5,10,16,0.0010505555555555554
5,10,17,0.0010505555555555554
5,10,18,0.0010505555555555554
5,10,19,0.0010505555555555554
5,10,20,0.0010505555555555554
5,10,21,0.0010505555555555554
5,10,22,0.0010505555555555554
5,10,23,0.0010505555555555554
5,10,24,0.0010505555555555554
5,10,25,0.0010505555555555554
5,10,26,0.0010505555555555554
5,10,27,0.0010505555555555554
5,10,28,0.0010505555555555554
5,10,29,0.0010505555555555554
5,10,30,0.0010505555555555554
5,10,31,0.0010505555555555554
5,10,32,0.0010505555555555554
5,10,33,0.0010505555555555554
5,10,34,0.0010505555555555554
5,10,35,0.0010505555555555554
5,10,36,0.0010505555555555554
5,10,37,0.0010505555555555554
5,10,38,0.0010505555555555554
5,10,39,0.0010505555555555554
5,10,40,0.0010505555555555554
5,10,41,0.0010505555555555554
5,10,42,0.0010505555555555554
5,10,43,0.0010505555555555554
5,10,44,0.0010505555555555554
5,10,45,0.0010505555555555554
5,10,46,0.0010505555555555554
5,10,47,0.0010505555555555554
5,10,48,0.0010505555555555554
5,10,49,0.0018005555555555557
5,10,50,0.0018005555555555557
5,10,51,0.0018005555555555557
5,10,52,0.0018005555555555557
5,10,53,0.0018005555555555557
5,10,54,0.0018005555555555557
5,10,55,0.0018005555555555557
5,10,56,0.0018005555555555557
5,10,57,0.0018005555555555557
5,10,58,0.0018005555555555557
5,10,59,0.0018005555555555557
5,11,0,0.0018005555555555557
5,11,1,0.0018005555555555557
5,11,2,0.0018005555555555557
5,11,3,0.0018005555555555557
5,11,4,0.0018005555555555557
5,11,5,0.0018005555555555557
5,11,6,0.0018005555555555557
5,11,7,0.0018005555555555557
5,11,8,0.0018005555555555557
5,11,9,0.0018005555555555557
5,11,10,0.0018005555555555557
5,11,11,0.0018005555555555557
5,11,12,0.0018005555555555557
5,11,13,0.0018005555555555557
5,11,14,0.0018005555555555557
5,11,15,0.0018005555555555557
5,11,16,0.0018005555555555557
5,11,17,0.0018005555555555557
5,11,18,0.0018005555555555557
5,11,19,0.0018005555555555557
5,11,20,0.0018005555555555557
5,11,21,0.0018005555555555557
5,11,22,0.0018005555555555557
5,11,23,0.0018005555555555557
5,11,24,0.0018005555555555557
5,11,25,0.0018005555555555557
5,11,26,0.0018005555555555557
5,11,27,0.0018005555555555557
5,11,28,0.0018005555555555557
5,11,29,0.0018005555555555557
5,11,30,0.0018005555555555557
5,11,31,0.0018005555555555557
5,11,32,0.0018005555555555557
5,11,33,0.0018005555555555557
5,11,34,0.0018005555555555557
5,11,35,0.0018005555555555557
5,11,36,0.0018005555555555557
5,11,37,0.0018005555555555557
5,11,38,0.0018005555555555557
5,11,39,0.0018005555555555557
5,11,40,0.0018005555555555557
5,11,41,0.0018005555555555557
5,11,42,0.0018005555555555557
5,11,43,0.0018005555555555557
5,11,44,0.0018005555555555557
5,11,45,0.0018005555555555557
5,11,46,0.0018005555555555557
5,11,47,0.0018005555555555557
5,11,48,0.0018005555555555557
5,11,49,0.0018005555555555557
5,11,50,0.0018005555555555557
5,11,51,0.0018005555555555557
5,11,52,0.0018005555555555557
5,11,53,0.0018005555555555557
5,11,54,0.0018005555555555557
5,11,55,0.0018005555555555557
5,11,56,0.0018005555555555557
5,11,57,0.0018005555555555557
5,11,58,0.0018005555555555557
5,11,59,0.0018005555555555557
5,12,0,0.0018005555555555557
5,12,1,0.0018005555555555557
5,12,2,0.0018005555555555557
5,12,3,0.0018005555555555557
5,12,4,0.0018005555555555557
5,12,5,0.0018005555555555557
5,12,6,0.0018005555555555557
5,12,7,0.0018005555555555557
5,12,8,0.0018005555555555557
5,12,9,0.0018005555555555557
5,12,10,0.0018005555555555557
5,12,11,0.0018005555555555557
5,12,12,0.0018005555555555557
5,12,13,0.0018005555555555557
5,12,14,0.0018005555555555557
5,12,15,0.0018005555555555557
5,12,16,0.0018005555555555557
5,12,17,0.0018005555555555557
5,12,18,0.0018005555555555557
5,12,19,0.0018005555555555557
5,12,20,0.0018005555555555557
5,12,21,0.0018005555555555557
5,12,22,0.0018005555555555557
5,12,23,0.0018005555555555557
5,12,24,0.0018005555555555557
5,12,25,0.002285
5,12,26,0.002285
5,12,27,0.002285
5,12,28,0.002285
5,12,29,0.002285
5,12,30,0.002285
5,12,31,0.002285
5,12,32,0.002285
5,12,33,0.002285
5,12,34,0.002285
5,12,35,0.002285
5,12,36,0.0015350000000000001
5,12,37,0.0015350000000000001
5,12,38,0.0015350000000000001
5,12,39,0.0015350000000000001
5,12,40,0.0015350000000000001
5,12,41,0.0015350000000000001
5,12,42,0.0015350000000000001
5,12,43,0.0015566666666666667
5,12,44,0.0015566666666666667
5,12,45,0.0015566666666666667
5,12,46,0.0015566666666666667
5,12,47,0.0015566666666666667
5,12,48,0.0015566666666666667
5,12,49,0.0015566666666666667
5,12,50,0.0015566666666666667
5,12,51,0.0015566666666666667
5,12,52,0.0015566666666666667
5,12,53,0.0015566666666666667
5,12,54,0.0015566666666666667
5,12,55,0.0015566666666666667
5,12,56,0.0015566666666666667
5,12,57,0.0015566666666666667
5,12,58,0.0015566666666666667
5,12,59,0.0015566666666666667
5,13,0,0.0015566666666666667
5,13,1,0.0015566666666666667
5,13,2,0.0015566666666666667
5,13,3,0.0015566666666666667
5,13,4,0.0015566666666666667
5,13,5,0.0015566666666666667
5,13,6,0.0015566666666666667
5,13,7,0.0015566666666666667
5,13,8,0.0015566666666666667
5,13,9,0.0015566666666666667
5,13,10,0.0015566666666666667
5,13,11,0.0015566666666666667
5,13,12,0.0015350000000000001
5,13,13,0.0029672222222222222
5,13,14,0.0029672222222222222
5,13,15,0.0029672222222222222
5,13,16,0.0029672222222222222
5,13,17,0.0029672222222222222
5,13,18,0.0015350000000000001
5,13,19,0.0015350000000000001
5,13,20,0.0015350000000000001
5,13,21,0.0015350000000000001
5,13,22,0.0015350000000000001
5,13,23,0.0015350000000000001
5,13,24,0.00048444444444444446
5,13,25,0.00048444444444444446
5,13,26,0.00048444444444444446
5,13,27,0.00048444444444444446
5,13,28,0.00048444444444444446
5,13,29,0.00048444444444444446
5,13,30,0.00048444444444444446
5,13,31,0.00048444444444444446
5,13,32,0.00048444444444444446
5,13,33,0.00048444444444444446
5,13,34,0.00048444444444444446
5,13,35,0.00048444444444444446
5,13,36,1.1588698710801e-310
5,13,37,1.15898304481513e-310
5,13,38,1.15909621734876e-310
5,13,39,1.159209390458e-310
5,13,40,1.15932256356646e-310
5,13,41,1.1594357366757e-310
5,13,42,1.1595489097849e-310
5,13,43,1.1596620828941e-310
5,13,44,1.15977525898093e-310
5,13,45,1.15988842917605e-310
5,13,46,1.16000117405457e-310
5,13,47,1.1601143471638e-310
5,13,48,1.1602275202731e-310
5,13,49,1.16034069338233e-310
5,13,50,1.1604538664908e-310
5,13,51,1.16056703959983e-310
5,13,52,1.1606802127098e-310
5,13,53,1.160793385819e-310
5,13,54,1.16090655892823e-310
5,13,55,1.16101973203745e-310
5,13,56,1.16113290514667e-310
5,13,57,1.161246078256e-310
5,13,58,1.1613592513652e-310
5,13,59,1.16147242447443e-310
5,14,0,1.16158559758365e-310
5,14,1,1.15830357742654e-310
5,14,2,1.15841675053576e-310
5,14,3,1.158529923645e-310
5,14,4,1.1586430967542e-310
5,14,5,1.1587562698634e-310
5,14,6,1.15886944297264e-310
5,14,7,1.15898261608186e-310
5,14,8,1.1590957891911e-310
5,14,9,1.1592089623003e-310
5,14,10,1.1593221354095e-310
5,14,11,1.15943530851874e-310
5,14,12,1.15954848162796e-310
5,14,13,1.1596616547372e-310
5,14,14,1.1597748278464e-310
5,14,15,1.1598880009556e-310
5,14,16,1.16000117406484e-310
5,14,17,1.16011434717406e-310
5,14,18,1.1602275202833e-310
5,14,19,1.1603406933925e-310
5,14,20,1.1604538665017e-310
5,14,21,1.16056703961094e-310
5,14,22,1.16068021272016e-310
5,14,23,1.1607933858294e-310
5,14,24,1.1609065589386e-310
5,14,25,1.16101973204783e-310
5,14,26,1.16113290515705e-310
5,14,27,1.16124607826627e-310
5,14,28,1.1613592513755e-310
5,14,29,1.1614724244847e-310
5,14,30,1.16158559759393e-310
5,14,31,1.1583035774368e-310
5,14,32,1.15841675054603e-310
5,14,33,1.15852992365525e-310
5,14,34,1.15864309676457e-310
5,14,35,1.1587562698738e-310
5,14,36,1.1588698710945e-310
5,14,37,2.1666666666666667e-05
5,14,38,2.1666666666666667e-05
5,14,39,2.1666666666666667e-05
5,14,40,2.1666666666666667e-05
5,14,41,2.1666666666666667e-05
5,14,42,2.1666666666666667e-05
5,14,43,2.1666666666666667e-05
5,14,44,2.1666666666666667e-05
5,14,45,2.1666666666666667e-05
5,14,46,2.1666666666666667e-05
5,14,47,2.1666666666666667e-05
5,14,48,1.16022752028763e-310
5,14,49,1.16034069339685e-310
5,14,50,1.16045386650533e-310
5,14,51,1.16056703961435e-310
5,14,52,1.1606802127243e-310
5,14,53,1.16079338583354e-310
5,14,54,1.16090655894276e-310
5,14,55,1.161019732052e-310
5,14,56,1.1611329051612e-310
5,14,57,1.1612460782704e-310
5,14,58,1.16135925137964e-310
5,14,59,1.16147242448886e-310
5,15,0,1.1615855975982e-310
5,15,1,1.15830357744106e-310
5,15,2,1.1584167505503e-310
5,15,3,1.1585299236595e-310
5,15,4,1.1586430967687e-310
5,15,5,1.15875626987794e-310
5,15,6,1.15886944298716e-310
5,15,7,0.00065
5,15,8,0.00065
5,15,9,0.00065
5,15,10,0.00065
5,15,11,0.00065
5,15,12,0.00065
5,15,13,0.00065
5,15,14,0.00065
5,15,15,0.00065
5,15,16,0.00065
5,15,17,0.00065
5,15,18,0.00065
5,15,19,0.00065
5,15,20,0.00065
5,15,21,0.00065
5,15,22,0.00065
5,15,23,0.00065
5,15,24,0.00065
5,15,25,0.00065
5,15,26,0.00065
5,15,27,0.00065
5,15,28,0.00065
5,15,29,0.00065
5,15,30,0.00065
5,15,31,0.00065
5,15,32,0.00065
5,15,33,0.00065
5,15,34,0.00065
5,15,35,0.00065
5,15,36,0.00065
5,15,37,0.00065
5,15,38,0.00065
5,15,39,0.00065
5,15,40,0.00065
5,15,41,0.00065
5,15,42,0.00065
5,15,43,0.00065
5,15,44,0.00065
5,15,45,0.00065
5,15,46,0.00065
5,15,47,0.00065
5,15,48,0.00065
5,15,49,0.00065
5,15,50,0.00065
5,15,51,0.00065
5,15,52,0.00065
5,15,53,0.00065
5,15,54,1.1609065589573e-310
5,15,55,1.1610197320665e-310
5,15,56,1.1611329051757e-310
5,15,57,1.16124607828494e-310
5,15,58,1.16135925139416e-310
5,15,59,1.1614724245034e-310
5,16,0,1.1615855976126e-310
5,16,1,1.1583035774555e-310
5,16,2,1.1584167505647e-310
5,16,3,1.1585299236741e-310
5,16,4,1.1586430967833e-310
5,16,5,1.1587562698925e-310
5,16,6,1.15886944300174e-310
5,16,7,1.15898261611096e-310
5,16,8,1.1590957892202e-310
5,16,9,1.1592089623294e-310
5,16,10,1.1593221354386e-310
5,16,11,1.15943530854784e-310
5,16,12,1.15954848165706e-310
5,16,13,1.1596616547663e-310
5,16,14,1.1597748278755e-310
5,16,15,1.1598880009847e-310
5,16,16,1.16000117409394e-310
5,16,17,1.16011434720316e-310
5,16,18,1.1602275203124e-310
5,16,19,1.1603406934216e-310
5,16,20,1.1604538665308e-310
5,16,21,1.16056703964005e-310
5,16,22,1.16068021274927e-310
5,16,23,1.1607933858585e-310
5,16,24,1.1609065589677e-310
5,16,25,0.0004311111111111111
5,16,26,0.0004311111111111111
5,16,27,0.0004311111111111111
5,16,28,0.0004311111111111111
5,16,29,0.0004311111111111111
5,16,30,0.0004311111111111111
5,16,31,0.0004311111111111111
5,16,32,0.0004311111111111111
5,16,33,0.0004311111111111111
5,16,34,0.0004311111111111111
5,16,35,0.0004311111111111111
5,16,36,0.0004311111111111111
5,16,37,0.0004311111111111111
5,16,38,0.0004311111111111111
5,16,39,0.0004311111111111111
5,16,40,0.0004311111111111111
5,16,41,0.0004311111111111111
5,16,42,0.0004311111111111111
5,16,43,0.0004311111111111111
5,16,44,0.0004311111111111111
5,16,45,0.0004311111111111111
5,16,46,0.0004311111111111111
5,16,47,0.0004311111111111111
5,16,48,0.0004311111111111111
5,16,49,0.0004311111111111111
5,16,50,0.0004311111111111111
5,16,51,0.0004311111111111111
5,16,52,0.0004311111111111111
5,16,53,0.0004311111111111111
5,16,54,0.0004311111111111111
5,16,55,0.0004311111111111111
5,16,56,0.0004311111111111111
5,16,57,0.0004311111111111111
5,16,58,0.0004311111111111111
5,16,59,0.0004311111111111111
5,17,0,0.0004311111111111111
5,17,1,0.0004311111111111111
5,17,2,0.0004311111111111111
5,17,3,0.0004311111111111111
5,17,4,0.0004311111111111111
5,17,5,0.0004311111111111111
5,17,6,0.0004311111111111111
5,17,7,0.0004311111111111111
5,17,8,0.0004311111111111111
5,17,9,0.0004311111111111111
5,17,10,0.0004311111111111111
5,17,11,0.0004311111111111111
5,17,12,0.0004311111111111111
5,17,13,0.0004311111111111111
5,17,14,0.0004311111111111111
5,17,15,0.0004311111111111111
5,17,16,0.0004311111111111111
5,17,17,0.0004311111111111111
5,17,18,0.0004311111111111111
5,17,19,0.0004311111111111111
5,17,20,0.0004311111111111111
5,17,21,0.0004311111111111111
5,17,22,0.0004311111111111111
5,17,23,0.0004311111111111111
5,17,24,0.0004311111111111111
5,17,25,0.0004311111111111111
5,17,26,0.0004311111111111111
5,17,27,0.0004311111111111111
5,17,28,0.0004311111111111111
5,17,29,0.0004311111111111111
5,17,30,0.0004311111111111111
5,17,31,0.0004311111111111111
5,17,32,0.0004311111111111111
5,17,33,0.0004311111111111111
5,17,34,0.0004311111111111111
5,17,35,0.0004311111111111111
5,17,36,0.0004311111111111111
5,17,37,0.0004311111111111111
5,17,38,0.0004311111111111111
5,17,39,0.0004311111111111111
5,17,40,0.0004311111111111111
5,17,41,0.0004311111111111111
5,17,42,0.0004311111111111111
5,17,43,0.0004311111111111111
5,17,44,0.0004311111111111111
5,17,45,0.0004311111111111111
5,17,46,0.0004311111111111111
5,17,47,0.0004311111111111111
5,17,48,0.0004311111111111111
5,17,49,0.0004311111111111111
5,17,50,0.0004311111111111111
5,17,51,0.0004311111111111111
5,17,52,0.0004311111111111111
5,17,53,0.0004311111111111111
5,17,54,0.0004311111111111111
5,17,55,0.0004311111111111111
5,17,56,0.0004311111111111111
5,17,57,0.0004311111111111111
5,17,58,0.0004311111111111111
5,17,59,0.0004311111111111111
5,18,0,0.0004311111111111111
5,18,1,0.0004311111111111111
5,18,2,0.0004311111111111111
5,18,3,0.0004311111111111111
5,18,4,0.0004311111111111111
5,18,5,0.0004311111111111111
5,18,6,0.0004311111111111111
5,18,7,0.0004311111111111111
5,18,8,0.0004311111111111111
5,18,9,0.0004311111111111111
5,18,10,0.0004311111111111111
5,18,11,0.0004311111111111111
5,18,12,0.0004311111111111111
5,18,13,0.0004311111111111111
5,18,14,0.0004311111111111111
5,18,15,0.0004311111111111111
5,18,16,0.0004311111111111111
5,18,17,0.0004311111111111111
5,18,18,0.0004311111111111111
5,18,19,0.000695
5,18,20,0.000695
5,18,21,0.000695
5,18,22,0.000695
5,18,23,0.000695
5,18,24,0.000695
5,18,25,0.000695
5,18,26,0.000695
5,18,27,0.000695
5,18,28,0.000695
5,18,29,0.000695
5,18,30,0.000695
5,18,31,0.000695
5,18,32,0.000695
5,18,33,0.000695
5,18,34,0.000695
5,18,35,0.000695
5,18,36,0.00026388888888888886
5,18,37,0.00026388888888888886
5,18,38,0.00026388888888888886
5,18,39,0.00026388888888888886
5,18,40,0.00026388888888888886
5,18,41,0.00026388888888888886
5,18,42,0.00026388888888888886
5,18,43,0.00026388888888888886
5,18,44,0.00026388888888888886
5,18,45,0.00026388888888888886
5,18,46,0.00026388888888888886
5,18,47,0.00026388888888888886
5,18,48,1.16022752034573e-310
5,18,49,1.16034069345505e-310
5,18,50,1.16045386656353e-310
5,18,51,1.16056703967255e-310
5,18,52,1.1606802127825e-310
5,18,53,1.16079338589174e-310
5,18,54,1.16090655900096e-310
5,18,55,0.0010733333333333333
5,18,56,0.0010733333333333333
5,18,57,0.0010733333333333333
5,18,58,0.0010733333333333333
5,18,59,0.0010733333333333333
5,19,0,0.0010733333333333333
5,19,1,0.0010733333333333333
5,19,2,0.0010733333333333333
5,19,3,0.0010733333333333333
5,19,4,0.0010733333333333333
5,19,5,0.0010733333333333333
5,19,6,0.0010733333333333333
5,19,7,0.0010733333333333333
5,19,8,0.0010733333333333333
5,19,9,0.0010733333333333333
5,19,10,0.0010733333333333333
5,19,11,0.0010733333333333333
5,19,12,0.0010733333333333333
5,19,13,0.0010733333333333333
5,19,14,0.0010733333333333333
5,19,15,0.0010733333333333333
5,19,16,0.0010733333333333333
5,19,17,0.0010733333333333333
5,19,18,0.0010733333333333333
5,19,19,0.0010733333333333333
5,19,20,0.0010733333333333333
5,19,21,0.0010733333333333333
5,19,22,0.0010733333333333333
5,19,23,0.0010733333333333333
5,19,24,0.0010733333333333333
5,19,25,0.0010733333333333333
5,19,26,0.0010733333333333333
5,19,27,0.0010733333333333333
5,19,28,0.0010733333333333333
5,19,29,0.0010733333333333333
5,19,30,0.0010733333333333333
5,19,31,0.0010733333333333333
5,19,32,0.0010733333333333333
5,19,33,0.0010733333333333333
5,19,34,0.0010733333333333333
5,19,35,0.0010733333333333333
5,19,36,0.0010733333333333333
5,19,37,0.0010733333333333333
5,19,38,0.0010733333333333333
5,19,39,0.0010733333333333333
5,19,40,0.0010733333333333333
5,19,41,0.0010733333333333333
5,19,42,0.0010733333333333333
5,19,43,0.0010733333333333333
5,19,44,0.0010733333333333333
5,19,45,0.0010733333333333333
5,19,46,0.0010733333333333333
5,19,47,0.0010733333333333333
5,19,48,0.0010733333333333333
5,19,49,0.0010733333333333333
5,19,50,0.0010733333333333333
5,19,51,0.0010733333333333333
5,19,52,0.0010733333333333333
5,19,53,0.0010733333333333333
5,19,54,0.0010733333333333333
5,19,55,0.0010733333333333333
5,19,56,0.0010733333333333333
5,19,57,0.0010733333333333333
5,19,58,0.0010733333333333333
5,19,59,0.0010733333333333333
5,20,0,0.0010733333333333333
5,20,1,0.0010733333333333333
5,20,2,0.0010733333333333333
5,20,3,0.0010733333333333333
5,20,4,0.0010733333333333333
5,20,5,0.0010733333333333333
5,20,6,0.0010733333333333333
5,20,7,0.0010733333333333333
5,20,8,0.0010733333333333333
5,20,9,0.0010733333333333333
5,20,10,0.0010733333333333333
5,20,11,0.0010733333333333333
5,20,12,0.0010733333333333333
5,20,13,0.0010733333333333333
5,20,14,0.0010733333333333333
5,20,15,0.0010733333333333333
5,20,16,0.0010733333333333333
5,20,17,0.0010733333333333333
5,20,18,0.0010733333333333333
5,20,19,0.0010733333333333333
5,20,20,0.0010733333333333333
5,20,21,0.0010733333333333333
5,20,22,0.0010733333333333333
5,20,23,0.0010733333333333333
5,20,24,0.0010733333333333333
5,20,25,0.0010733333333333333
5,20,26,0.0010733333333333333
5,20,27,0.0010733333333333333
5,20,28,0.0010733333333333333
5,20,29,0.0010733333333333333
5,20,30,0.0010733333333333333
5,20,31,0.0010733333333333333
5,20,32,0.0010733333333333333
5,20,33,0.0010733333333333333
5,20,34,0.0010733333333333333
5,20,35,0.0010733333333333333
5,20,36,0.0010733333333333333
5,20,37,0.0010733333333333333
5,20,38,0.0010733333333333333
5,20,39,0.0010733333333333333
5,20,40,0.0010733333333333333
5,20,41,0.0010733333333333333
5,20,42,0.0010733333333333333
5,20,43,0.0010733333333333333
5,20,44,0.0010733333333333333
5,20,45,0.0010733333333333333
5,20,46,0.0010733333333333333
5,20,47,0.0010733333333333333
5,20,48,0.0010733333333333333
5,20,49,0.0010733333333333333
5,20,50,0.0010733333333333333
5,20,51,0.0010733333333333333
5,20,52,0.0010733333333333333
5,20,53,0.0010733333333333333
5,20,54,0.0010733333333333333
5,20,55,0.0010733333333333333
5,20,56,0.0010733333333333333
5,20,57,0.0010733333333333333
5,20,58,0.0010733333333333333
5,20,59,0.0010733333333333333
5,21,0,0.0010733333333333333
5,21,1,0.0010733333333333333
5,21,2,0.0010733333333333333
5,21,3,0.0010733333333333333
5,21,4,0.0010733333333333333
5,21,5,0.0010733333333333333
5,21,6,0.0010733333333333333
5,21,7,0.0010733333333333333
5,21,8,0.0010733333333333333
5,21,9,0.0010733333333333333
5,21,10,0.0010733333333333333
5,21,11,0.0010733333333333333
5,21,12,0.0010733333333333333
5,21,13,0.0010733333333333333
5,21,14,0.0010733333333333333
5,21,15,0.0010733333333333333
5,21,16,0.0010733333333333333
5,21,17,0.0010733333333333333
5,21,18,0.0010733333333333333
5,21,19,0.0010733333333333333
5,21,20,0.0010733333333333333
5,21,21,0.0010733333333333333
5,21,22,0.0010733333333333333
5,21,23,0.0010733333333333333
5,21,24,0.0010733333333333333
5,21,25,0.0010733333333333333
5,21,26,0.0010733333333333333
5,21,27,0.0010733333333333333
5,21,28,0.0010733333333333333
5,21,29,0.0010733333333333333
5,21,30,0.0010733333333333333
5,21,31,0.0010733333333333333
5,21,32,0.0010733333333333333
5,21,33,0.0010733333333333333
5,21,34,0.0010733333333333333
5,21,35,0.0010733333333333333
5,21,36,0.0010733333333333333
5,21,37,0.0010733333333333333
5,21,38,0.0010733333333333333
5,21,39,0.0010733333333333333
5,21,40,0.0010733333333333333
5,21,41,0.0010733333333333333
5,21,42,0.0010733333333333333
5,21,43,0.0010733333333333333
5,21,44,0.0010733333333333333
5,21,45,0.0010733333333333333
5,21,46,0.0010733333333333333
5,21,47,0.0010733333333333333
5,21,48,0.0010733333333333333
5,21,49,0.0010733333333333333
5,21,50,0.0010733333333333333
5,21,51,0.0010733333333333333
5,21,52,0.0010733333333333333
5,21,53,0.0010733333333333333
5,21,54,0.0010733333333333333
5,21,55,0.0010733333333333333
5,21,56,0.0010733333333333333
5,21,57,0.0010733333333333333
5,21,58,0.0010733333333333333
5,21,59,0.0010733333333333333
5,22,0,0.0010733333333333333
5,22,1,0.0010733333333333333
5,22,2,0.0010733333333333333
5,22,3,0.0010733333333333333
5,22,4,0.0010733333333333333
5,22,5,0.0010733333333333333
5,22,6,0.0010733333333333333
5,22,7,0.0010733333333333333
5,22,8,0.0010733333333333333
5,22,9,0.0010733333333333333
5,22,10,0.0010733333333333333
5,22,11,0.0010733333333333333
5,22,12,0.0010733333333333333
5,22,13,0.0010733333333333333
5,22,14,0.0010733333333333333
5,22,15,0.0010733333333333333
5,22,16,0.0010733333333333333
5,22,17,0.0010733333333333333
5,22,18,0.0010733333333333333
5,22,19,0.0010733333333333333
5,22,20,0.0010733333333333333
5,22,21,0.0010733333333333333
5,22,22,0.0010733333333333333
5,22,23,0.0010733333333333333
5,22,24,0.0010733333333333333
5,22,25,0.0010733333333333333
5,22,26,0.0010733333333333333
5,22,27,0.0010733333333333333
5,22,28,0.0010733333333333333
5,22,29,0.0010733333333333333
5,22,30,0.0010733333333333333
5,22,31,0.0010733333333333333
5,22,32,0.0010733333333333333
5,22,33,0.0010733333333333333
5,22,34,0.0010733333333333333
5,22,35,0.0010733333333333333
5,22,36,0.0010733333333333333
5,22,37,0.0010733333333333333
5,22,38,0.0010733333333333333
5,22,39,0.0010733333333333333
5,22,40,0.0010733333333333333
5,22,41,0.0010733333333333333
5,22,42,0.0010733333333333333
5,22,43,0.0010733333333333333
5,22,44,0.0010733333333333333
5,22,45,0.0010733333333333333
5,22,46,0.0010733333333333333
5,22,47,0.0010733333333333333
5,22,48,0.0010733333333333333
5,22,49,0.0010733333333333333
5,22,50,0.0010733333333333333
5,22,51,0.0010733333333333333
5,22,52,0.0010733333333333333
5,22,53,0.0010733333333333333
5,22,54,0.0010733333333333333
5,22,55,0.0010733333333333333
5,22,56,0.0010733333333333333
5,22,57,0.0010733333333333333
5,22,58,0.0010733333333333333
5,22,59,0.0010733333333333333
5,23,0,0.0010733333333333333
5,23,1,0.0010733333333333333
5,23,2,0.0010733333333333333
5,23,3,0.0010733333333333333
5,23,4,0.0010733333333333333
5,23,5,0.0010733333333333333
5,23,6,0.0010733333333333333
5,23,7,0.0010733333333333333
5,23,8,0.0010733333333333333
5,23,9,0.0010733333333333333
5,23,10,0.0010733333333333333
5,23,11,0.0010733333333333333
5,23,12,0.0010733333333333333
5,23,13,0.0010733333333333333
5,23,14,0.0010733333333333333
5,23,15,0.0010733333333333333
5,23,16,0.0010733333333333333
5,23,17,0.0010733333333333333
5,23,18,0.0010733333333333333
5,23,19,0.0010733333333333333
5,23,20,0.0010733333333333333
5,23,21,0.0010733333333333333
5,23,22,0.0010733333333333333
5,23,23,0.0010733333333333333
5,23,24,0.0010733333333333333
5,23,25,0.0010733333333333333
5,23,26,0.0010733333333333333
5,23,27,0.0010733333333333333
5,23,28,0.0010733333333333333
5,23,29,0.0010733333333333333
5,23,30,0.0010733333333333333
5,23,31,0.0016955555555555554
5,23,32,0.0016955555555555554
5,23,33,0.0016955555555555554
5,23,34,0.0016955555555555554
5,23,35,0.0016955555555555554
5,23,36,0.0016955555555555554
5,23,37,0.0016955555555555554
5,23,38,0.0016955555555555554
5,23,39,0.0016955555555555554
5,23,40,0.0016955555555555554
5,23,41,0.0016955555555555554
5,23,42,0.0016955555555555554
5,23,43,0.0016955555555555554
5,23,44,0.0016955555555555554
5,23,45,0.0016955555555555554
5,23,46,0.0016955555555555554
5,23,47,0.0016955555555555554
5,23,48,0.0016955555555555554
5,23,49,0.0016955555555555554
5,23,50,0.0016955555555555554
5,23,51,0.0016955555555555554
5,23,52,0.0016955555555555554
5,23,53,0.0016955555555555554
5,23,54,0.0016955555555555554
5,23,55,0.0016955555555555554
5,23,56,0.0016955555555555554
5,23,57,0.0016955555555555554
5,23,58,0.0016955555555555554
5,23,59,0.0016955555555555554
5,24,0,0.0016955555555555554
5,24,1,0.0016955555555555554
5,24,2,0.0016955555555555554
5,24,3,0.0016955555555555554
5,24,4,0.0016955555555555554
5,24,5,0.0016955555555555554
5,24,6,0.0016955555555555554
5,24,7,0.0016955555555555554
5,24,8,0.0016955555555555554
5,24,9,0.0016955555555555554
5,24,10,0.0016955555555555554
